iter	Passed	Remaining
0	24	24778
1	47	23493
2	70	23433
3	93	23167
4	118	23597
5	141	23441
6	161	22917
7	182	22690
8	203	22456
9	226	22401
10	247	22287
11	268	22123
12	289	21994
13	310	21861
14	333	21896
15	353	21753
16	376	21743
17	397	21680
18	419	21666
19	443	21712
20	463	21594
21	483	21481
22	504	21442
23	525	21386
24	548	21396
25	569	21351
26	593	21391
27	617	21444
28	638	21376
29	661	21382
30	682	21341
31	706	21372
32	729	21366
33	750	21321
34	773	21333
35	795	21302
36	818	21295
37	839	21246
38	858	21149
39	879	21106
40	900	21069
41	923	21072
42	944	21025
43	964	20965
44	987	20948
45	1008	20915
46	1029	20875
47	1052	20867
48	1072	20820
49	1094	20796
50	1117	20798
51	1140	20785
52	1160	20738
53	1184	20744
54	1205	20715
55	1230	20745
56	1252	20729
57	1276	20734
58	1299	20728
59	1322	20721
60	1343	20674
61	1363	20633
62	1385	20599
63	1408	20604
64	1432	20604
65	1453	20569
66	1472	20509
67	1494	20483
68	1516	20458
69	1536	20412
70	1557	20384
71	1579	20362
72	1602	20344
73	1622	20305
74	1651	20367
75	1674	20360
76	1697	20342
77	1717	20295
78	1740	20294
79	1770	20363
80	1813	20574
81	1872	20966
82	1928	21308
83	1979	21582
84	2033	21894
85	2093	22244
86	2150	22571
87	2202	22826
88	2257	23107
89	2323	23489
90	2384	23814
91	2438	24068
92	2491	24295
93	2546	24539
94	2598	24754
95	2652	24977
96	2709	25226
97	2766	25466
98	2823	25696
99	2845	25609
100	2868	25535
101	2888	25430
102	2909	25340
103	2930	25250
104	2950	25148
105	2969	25044
106	2990	24959
107	3012	24882
108	3034	24806
109	3056	24726
110	3077	24651
111	3098	24568
112	3119	24489
113	3142	24420
114	3163	24343
115	3183	24258
116	3206	24197
117	3228	24129
118	3249	24054
119	3269	23979
120	3291	23912
121	3312	23842
122	3337	23793
123	3360	23737
124	3384	23691
125	3406	23630
126	3429	23571
127	3451	23511
128	3470	23430
129	3492	23370
130	3514	23311
131	3534	23245
132	3557	23192
133	3577	23121
134	3600	23067
135	3622	23015
136	3647	22975
137	3667	22908
138	3690	22861
139	3713	22811
140	3735	22754
141	3755	22692
142	3778	22647
143	3801	22600
144	3823	22545
145	3873	22657
146	3933	22823
147	3988	22959
148	4039	23073
149	4099	23232
150	4152	23344
151	4210	23488
152	4268	23628
153	4331	23796
154	4393	23949
155	4455	24104
156	4516	24250
157	4574	24380
158	4626	24470
159	4682	24581
160	4737	24688
161	4793	24795
162	4836	24834
163	4854	24748
164	4875	24671
165	4894	24588
166	4915	24518
167	4937	24451
168	4960	24393
169	4980	24314
170	5001	24246
171	5022	24176
172	5040	24097
173	5063	24036
174	5085	23974
175	5106	23907
176	5126	23835
177	5147	23769
178	5168	23704
179	5188	23637
180	5210	23577
181	5232	23516
182	5256	23466
183	5276	23401
184	5297	23338
185	5317	23272
186	5340	23217
187	5361	23157
188	5381	23092
189	5404	23040
190	5425	22979
191	5449	22932
192	5471	22876
193	5496	22834
194	5518	22780
195	5539	22723
196	5562	22673
197	5583	22617
198	5604	22559
199	5627	22509
200	5651	22466
201	5672	22409
202	5695	22362
203	5722	22330
204	5743	22274
205	5764	22218
206	5785	22163
207	5808	22116
208	5827	22056
209	5879	22118
210	5931	22179
211	5991	22271
212	6056	22379
213	6113	22455
214	6168	22523
215	6225	22595
216	6277	22652
217	6333	22719
218	6397	22815
219	6452	22876
220	6513	22958
221	6574	23038
222	6627	23091
223	6679	23138
224	6736	23202
225	6788	23248
226	6837	23283
227	6855	23212
228	6874	23143
229	6892	23075
230	6911	23006
231	6929	22940
232	6951	22883
233	6972	22825
234	6991	22759
235	7015	22711
236	7038	22658
237	7058	22599
238	7084	22556
239	7105	22501
240	7127	22446
241	7148	22392
242	7167	22329
243	7187	22270
244	7210	22219
245	7232	22168
246	7254	22116
247	7275	22060
248	7296	22006
249	7317	21952
250	7340	21903
251	7361	21851
252	7384	21803
253	7406	21753
254	7429	21705
255	7450	21654
256	7471	21601
257	7492	21547
258	7514	21499
259	7537	21452
260	7558	21400
261	7580	21353
262	7605	21312
263	7626	21261
264	7649	21216
265	7671	21168
266	7693	21121
267	7716	21075
268	7737	21026
269	7759	20980
270	7780	20930
271	7801	20881
272	7823	20835
273	7859	20823
274	7914	20864
275	7968	20903
276	8024	20943
277	8087	21005
278	8148	21057
279	8198	21082
280	8255	21122
281	8305	21145
282	8357	21175
283	8411	21206
284	8463	21232
285	8517	21264
286	8575	21303
287	8634	21345
288	8693	21387
289	8745	21410
290	8795	21430
291	8844	21445
292	8870	21403
293	8897	21365
294	8923	21325
295	8951	21290
296	8976	21248
297	9004	21210
298	9032	21176
299	9057	21134
300	9087	21103
301	9116	21070
302	9145	21036
303	9173	21002
304	9200	20965
305	9227	20928
306	9254	20891
307	9282	20856
308	9307	20813
309	9335	20778
310	9362	20741
311	9390	20706
312	9415	20665
313	9444	20633
314	9479	20613
315	9521	20609
316	9552	20580
317	9585	20556
318	9612	20521
319	9641	20487
320	9671	20458
321	9704	20433
322	9734	20403
323	9764	20373
324	9798	20350
325	9831	20325
326	9863	20299
327	9894	20270
328	9925	20244
329	9957	20216
330	9992	20196
331	10031	20183
332	10063	20157
333	10095	20130
334	10136	20122
335	10163	20084
336	10190	20048
337	10217	20010
338	10246	19979
339	10274	19943
340	10302	19910
341	10330	19874
342	10357	19839
343	10386	19806
344	10411	19766
345	10441	19736
346	10472	19708
347	10500	19673
348	10535	19652
349	10576	19642
350	10612	19622
351	10653	19612
352	10688	19590
353	10722	19567
354	10755	19541
355	10788	19516
356	10823	19495
357	10857	19470
358	10886	19438
359	10914	19402
360	10939	19363
361	10966	19327
362	10993	19290
363	11019	19253
364	11047	19220
365	11074	19183
366	11102	19148
367	11129	19113
368	11158	19081
369	11185	19045
370	11212	19009
371	11240	18975
372	11265	18937
373	11296	18907
374	11320	18867
375	11348	18833
376	11378	18802
377	11405	18767
378	11433	18733
379	11459	18696
380	11486	18661
381	11512	18624
382	11542	18594
383	11569	18559
384	11594	18520
385	11621	18485
386	11650	18453
387	11675	18415
388	11700	18378
389	11729	18346
390	11759	18315
391	11786	18280
392	11814	18247
393	11840	18211
394	11869	18179
395	11898	18147
396	11926	18115
397	11952	18079
398	11980	18046
399	12013	18020
400	12048	17997
401	12080	17969
402	12107	17936
403	12136	17904
404	12164	17871
405	12191	17837
406	12219	17804
407	12247	17771
408	12274	17737
409	12301	17701
410	12330	17671
411	12358	17637
412	12385	17603
413	12412	17569
414	12439	17535
415	12465	17499
416	12488	17460
417	12517	17428
418	12543	17393
419	12569	17357
420	12597	17325
421	12623	17290
422	12649	17255
423	12677	17222
424	12705	17189
425	12731	17154
426	12758	17121
427	12784	17086
428	12816	17059
429	12845	17027
430	12876	16999
431	12904	16967
432	12931	16932
433	12957	16898
434	12984	16864
435	13013	16833
436	13041	16801
437	13067	16766
438	13095	16735
439	13123	16702
440	13150	16669
441	13178	16637
442	13207	16606
443	13235	16574
444	13261	16539
445	13291	16509
446	13318	16477
447	13348	16447
448	13374	16413
449	13404	16383
450	13435	16354
451	13462	16322
452	13490	16289
453	13515	16254
454	13547	16226
455	13576	16197
456	13604	16164
457	13631	16131
458	13657	16097
459	13689	16070
460	13716	16037
461	13741	16001
462	13768	15969
463	13796	15937
464	13824	15905
465	13851	15872
466	13879	15841
467	13908	15809
468	13937	15780
469	13964	15746
470	13992	15715
471	14019	15682
472	14047	15651
473	14075	15619
474	14101	15585
475	14127	15552
476	14155	15520
477	14182	15487
478	14210	15456
479	14238	15425
480	14266	15393
481	14293	15361
482	14321	15330
483	14350	15299
484	14376	15265
485	14403	15233
486	14431	15202
487	14460	15171
488	14486	15137
489	14514	15106
490	14539	15072
491	14568	15041
492	14594	15009
493	14621	14976
494	14646	14942
495	14672	14909
496	14700	14877
497	14728	14846
498	14756	14815
499	14781	14781
500	14806	14747
501	14831	14713
502	14860	14683
503	14888	14652
504	14918	14622
505	14945	14590
506	14973	14560
507	15004	14532
508	15034	14502
509	15063	14473
510	15090	14441
511	15118	14410
512	15147	14379
513	15174	14347
514	15200	14315
515	15229	14285
516	15257	14254
517	15284	14222
518	15311	14190
519	15341	14161
520	15366	14128
521	15393	14095
522	15421	14065
523	15448	14033
524	15478	14003
525	15508	13974
526	15535	13943
527	15563	13912
528	15591	13882
529	15619	13851
530	15646	13819
531	15672	13787
532	15701	13757
533	15732	13728
534	15759	13697
535	15785	13665
536	15813	13634
537	15848	13609
538	15876	13578
539	15902	13546
540	15929	13515
541	15961	13487
542	15989	13456
543	16015	13424
544	16041	13392
545	16068	13360
546	16093	13327
547	16119	13295
548	16148	13265
549	16174	13233
550	16199	13201
551	16226	13169
552	16256	13140
553	16284	13109
554	16312	13079
555	16340	13048
556	16366	13016
557	16394	12986
558	16420	12954
559	16448	12923
560	16474	12891
561	16505	12863
562	16531	12831
563	16561	12803
564	16590	12773
565	16616	12741
566	16642	12709
567	16667	12677
568	16694	12645
569	16719	12613
570	16749	12584
571	16774	12551
572	16798	12518
573	16826	12487
574	16850	12454
575	16878	12424
576	16903	12392
577	16928	12359
578	16955	12328
579	16983	12298
580	17012	12268
581	17039	12237
582	17068	12208
583	17095	12177
584	17121	12146
585	17150	12116
586	17177	12086
587	17204	12054
588	17232	12024
589	17259	11994
590	17288	11964
591	17316	11934
592	17345	11904
593	17373	11874
594	17398	11842
595	17426	11812
596	17451	11780
597	17479	11750
598	17505	11718
599	17535	11690
600	17562	11659
601	17590	11629
602	17619	11600
603	17647	11569
604	17671	11537
605	17699	11507
606	17725	11476
607	17754	11446
608	17779	11415
609	17808	11385
610	17836	11355
611	17864	11325
612	17891	11295
613	17915	11263
614	17941	11231
615	17970	11202
616	18000	11173
617	18029	11144
618	18057	11114
619	18091	11088
620	18126	11062
621	18158	11035
622	18176	10999
623	18199	10966
624	18220	10932
625	18240	10897
626	18264	10865
627	18287	10832
628	18308	10798
629	18329	10765
630	18349	10730
631	18372	10697
632	18393	10664
633	18414	10630
634	18435	10596
635	18459	10564
636	18482	10532
637	18504	10499
638	18525	10466
639	18549	10434
640	18571	10401
641	18594	10368
642	18616	10335
643	18637	10302
644	18663	10271
645	18686	10240
646	18713	10209
647	18735	10177
648	18759	10145
649	18782	10113
650	18802	10079
651	18824	10047
652	18846	10014
653	18868	9982
654	18889	9949
655	18910	9916
656	18931	9883
657	18979	9864
658	19031	9847
659	19085	9831
660	19146	9819
661	19203	9804
662	19257	9788
663	19314	9773
664	19365	9755
665	19420	9739
666	19482	9726
667	19540	9711
668	19593	9694
669	19652	9679
670	19710	9664
671	19767	9648
672	19822	9631
673	19874	9612
674	19927	9594
675	19954	9564
676	19973	9529
677	19992	9494
678	20012	9461
679	20032	9427
680	20054	9394
681	20075	9360
682	20097	9327
683	20119	9294
684	20139	9261
685	20162	9228
686	20184	9196
687	20206	9163
688	20230	9131
689	20254	9099
690	20273	9065
691	20296	9033
692	20320	9002
693	20342	8969
694	20363	8936
695	20386	8904
696	20408	8872
697	20430	8839
698	20454	8807
699	20474	8774
700	20496	8742
701	20516	8709
702	20538	8676
703	20561	8645
704	20582	8612
705	20605	8580
706	20626	8548
707	20648	8516
708	20671	8484
709	20696	8453
710	20719	8421
711	20742	8390
712	20766	8359
713	20790	8327
714	20811	8295
715	20832	8263
716	20852	8230
717	20876	8199
718	20897	8167
719	20918	8135
720	20940	8103
721	20991	8082
722	21050	8064
723	21103	8045
724	21158	8025
725	21215	8006
726	21275	7989
727	21334	7971
728	21389	7951
729	21444	7931
730	21493	7909
731	21547	7888
732	21617	7874
733	21685	7858
734	21745	7840
735	21801	7820
736	21857	7799
737	21915	7780
738	21956	7754
739	21976	7721
740	21996	7688
741	22015	7655
742	22036	7622
743	22055	7589
744	22077	7556
745	22096	7523
746	22117	7491
747	22136	7457
748	22155	7424
749	22177	7392
750	22198	7360
751	22219	7327
752	22240	7295
753	22260	7262
754	22283	7231
755	22308	7200
756	22332	7168
757	22355	7137
758	22377	7105
759	22399	7073
760	22421	7041
761	22444	7010
762	22466	6978
763	22489	6946
764	22511	6915
765	22532	6883
766	22555	6851
767	22577	6820
768	22597	6788
769	22618	6756
770	22641	6724
771	22665	6694
772	22689	6663
773	22712	6631
774	22732	6599
775	22756	6568
776	22778	6537
777	22800	6505
778	22821	6474
779	22842	6442
780	22864	6411
781	22886	6380
782	22906	6348
783	22925	6316
784	22948	6285
785	23001	6262
786	23056	6240
787	23112	6218
788	23168	6195
789	23243	6178
790	23319	6161
791	23381	6140
792	23443	6119
793	23495	6095
794	23549	6072
795	23608	6050
796	23664	6027
797	23723	6005
798	23778	5981
799	23833	5958
800	23893	5935
801	23964	5916
802	24005	5889
803	24043	5861
804	24080	5833
805	24116	5804
806	24152	5776
807	24186	5747
808	24218	5717
809	24253	5689
810	24282	5658
811	24317	5630
812	24337	5597
813	24360	5566
814	24383	5534
815	24408	5503
816	24431	5472
817	24453	5440
818	24473	5408
819	24495	5377
820	24518	5345
821	24539	5313
822	24562	5282
823	24582	5250
824	24603	5219
825	24627	5187
826	24650	5156
827	24674	5125
828	24696	5094
829	24719	5062
830	24741	5031
831	24761	4999
832	24783	4968
833	24807	4937
834	24829	4906
835	24852	4875
836	24876	4844
837	24900	4813
838	24924	4782
839	24947	4751
840	24995	4725
841	25051	4700
842	25110	4676
843	25162	4650
844	25219	4626
845	25278	4601
846	25331	4575
847	25386	4550
848	25448	4526
849	25512	4502
850	25569	4476
851	25630	4452
852	25681	4425
853	25735	4399
854	25787	4373
855	25840	4346
856	25894	4320
857	25952	4295
858	25976	4263
859	25995	4231
860	26018	4200
861	26039	4168
862	26061	4137
863	26084	4105
864	26105	4074
865	26127	4042
866	26147	4011
867	26167	3979
868	26188	3947
869	26210	3916
870	26232	3885
871	26255	3853
872	26276	3822
873	26296	3791
874	26318	3759
875	26340	3728
876	26361	3697
877	26384	3666
878	26405	3634
879	26426	3603
880	26451	3572
881	26474	3541
882	26496	3510
883	26518	3479
884	26542	3449
885	26564	3418
886	26587	3387
887	26608	3356
888	26631	3325
889	26651	3294
890	26672	3262
891	26692	3231
892	26712	3200
893	26734	3169
894	26756	3138
895	26777	3108
896	26801	3077
897	26823	3046
898	26844	3015
899	26866	2985
900	26888	2954
901	26913	2924
902	26934	2893
903	26958	2862
904	27011	2835
905	27070	2808
906	27122	2781
907	27173	2753
908	27228	2725
909	27286	2698
910	27346	2671
911	27413	2645
912	27504	2620
913	27578	2594
914	27657	2569
915	27715	2541
916	27773	2513
917	27825	2485
918	27882	2457
919	27944	2429
920	28003	2402
921	28058	2373
922	28109	2344
923	28166	2316
924	28221	2288
925	28280	2259
926	28333	2231
927	28386	2202
928	28441	2173
929	28498	2145
930	28553	2116
931	28609	2087
932	28667	2058
933	28723	2029
934	28777	2000
935	28830	1971
936	28887	1942
937	28943	1913
938	28975	1882
939	28995	1850
940	29014	1819
941	29034	1787
942	29054	1756
943	29076	1724
944	29097	1693
945	29120	1662
946	29141	1630
947	29165	1599
948	29185	1568
949	29206	1537
950	29230	1506
951	29251	1474
952	29272	1443
953	29293	1412
954	29315	1381
955	29337	1350
956	29359	1319
957	29382	1288
958	29407	1257
959	29427	1226
960	29451	1195
961	29473	1164
962	29497	1133
963	29519	1102
964	29541	1071
965	29563	1040
966	29585	1009
967	29609	978
968	29634	948
969	29656	917
970	29677	886
971	29701	855
972	29725	824
973	29744	794
974	29765	763
975	29787	732
976	29809	701
977	29830	671
978	29851	640
979	29873	609
980	29896	579
981	29919	548
982	29941	517
983	29964	487
984	30014	457
985	30070	426
986	30123	396
987	30178	366
